my_cluster,my_vct_servername,my_datacenter,my_folder,my_guest_id,my_disk_size_gb,my_datastore,my_memory_mb,my_num_cpus,my_network_name,my_ip_address,my_netmask,my_gateway_address,my_hostname,my_dnsserver1,my_dnsserver2,my_dns_domain,my_template,my_state
csssnonlpesx50.dev.local,CSSTLABLVBLD53,CS NON,Linux/Testing,rhel8_64Guest,250,Trusted Datastores (ESX50),8129,4,VM - GSS Trusted (DEV) (LACP),172.26.0.153,255.255.255.0,172.26.0.1,csstlablvbld53.dev.local,10.2.24.101,10.2.24.103,dev.local,RHEL87_TEST_template,poweredon
csssnonlpesx50.dev.local,CSSTLABLVBLD54,CS NON,Linux/Testing,rhel8_64Guest,250,Trusted Datastores (ESX50),8129,4,VM - GSS Trusted (DEV) (LACP),172.26.0.154,255.255.255.0,172.26.0.1,csstlablvbld54.dev.local,10.2.24.101,10.2.24.103,dev.local,RHEL87_TEST_template,poweredon
